,predicted_mean,predicted_std,optimal_degree,cv_r2_mean,r2_deg_1,r2_deg_2,r2_deg_3,Sobol_H,Sobol_R,Sobol_W,Sobol_H*R,Sobol_H*W,Sobol_W*R
LWDNB_night_non-city,312.96240986886977,0.07317969645809248,2.0,0.9718102945913204,0.9318025574833744,0.9718102945913204,0.9691522175391739,0.4446475237715214,0.5021701108658312,0.024657673118662224,0.004306222198861407,1.4946950006406664e-06,0.02421697535012313
PBLH_day_city,813.4566399248713,16.246102563768016,3.0,0.9993875057345422,0.9557855381724375,0.9972412008965211,0.9993875057345422,0.4748348773103063,0.39164771440893553,0.11604887736743448,0.0004798820692786318,0.0034537688211212646,0.012569262751564501
PBLH_day_non-city,988.2547451773997,1.8511299768175953,2.0,0.9728675929429993,0.958768472007978,0.9728675929429993,0.9717071085343385,0.40251046119825623,0.5125281135184403,0.07105070276970221,0.005037420770140023,0.0015690768488455726,0.007304224894615656
PBLH_night_city,405.4496441287139,31.19502085470339,3.0,0.9996764154114969,0.9434878476657875,0.9961077711353795,0.9996764154114969,0.5417034199509314,0.40391599638932973,0.018484324689396762,0.009600987485264896,0.011617408419704647,0.014562283808039827
PBLH_night_non-city,469.3414685118438,1.7544997062700733,3.0,0.9718603645992678,0.9464163069098888,0.9687241658458658,0.9718603645992678,0.4259767681734819,0.47658155521340384,0.07430231643292246,0.0052795059286842565,0.0042301193104089686,0.013259200916156023
PSFC_day_city,95981.32804599819,0.2581789029723154,3.0,0.9816025978355745,0.8861770834219349,0.9619909929579524,0.9816025978355745,0.32418003905278814,0.23532521722817176,0.2669623896029788,0.03924682982264212,0.0722129822838645,0.0152739272164601
PSFC_day_non-city,93236.1390957422,0.0819834939075566,2.0,0.9426627435809507,0.9179507382163173,0.9426627435809507,0.9366224026945664,0.024018045741863434,0.6610029314286198,0.2770318598962706,0.0037392374984235714,0.02512320971160345,0.009084715723219002
PSFC_night_city,95967.08999346608,0.9364178518781101,3.0,0.9987532691667498,0.9309843067077825,0.9940024913510982,0.9987532691667498,0.6612555435431078,0.19228676879222764,0.08918955639614914,0.008126191913054618,0.02109068585041055,0.027967841896154727
PSFC_night_non-city,93214.72973805986,0.061191119650181765,3.0,0.9254391575044796,0.8570489084641741,0.9230891259140697,0.9254391575044796,0.29576431556405164,0.0040474515101935685,0.5508451079663372,0.006968220862466311,0.10397663875476366,0.030973462158768634
Q2_day_city,0.009920992268680942,2.1072781799062782e-05,3.0,0.9929225503488283,0.9517058980266526,0.989835675536562,0.9929225503488283,0.5073111956062081,0.4422788672526356,0.0048055580395405875,0.0037495884968874174,0.0015350658655765904,0.029701111015779276
Q2_day_non-city,0.007596673348463727,5.087357755670161e-06,3.0,0.9841458104438819,0.8927698970297572,0.9837403756300137,0.9841458104438819,0.2271297602233786,0.008556591167829353,0.6317098556760884,0.05203707311621637,0.001971061794147046,0.07605823522321124
Q2_night_city,0.009612944328781419,1.4560389353056787e-05,3.0,0.9792952215470381,0.862709134854217,0.9697153368014219,0.9792952215470381,0.39059996199662367,0.4111858097546464,0.08775685170747118,0.02443871180621319,0.023808754804142608,0.06106348594412992
Q2_night_non-city,0.007309122662972424,3.3755945183514976e-06,3.0,0.9222641606016679,0.6150141329349219,0.9193894346531053,0.9222641606016679,0.06492490779259381,0.3802470090733421,0.19803505603582283,0.313214338932547,0.004584057861594121,0.03560445854972536
QC_URB_day_city,0.009665521828773489,1.9325414939285292e-05,3.0,0.9916905344780769,0.9502705063480954,0.9891422525124712,0.9916905344780769,0.5033296324399879,0.4482960444645346,0.0043046436649284096,0.0006937171675783014,0.0017638682735543595,0.03049366996753723
QC_URB_day_non-city,0.009999997999999902,2.1188292067472203e-34,1.0,1.0,1.0,1.0,1.0,0.06945882193025593,0.06821092248949877,0.8623302555802453,0.0,0.0,0.0
QC_URB_night_city,0.009646885291093983,1.0946223277676086e-05,3.0,0.9660892417255402,0.8530245943356005,0.9431876374898132,0.9660892417255402,0.6290141691487913,0.10704675535781741,0.10620898702297626,0.09940445138080053,0.04763071487845987,0.005925329511156789
QC_URB_night_non-city,0.009999998497528098,2.1188292067472203e-34,1.0,1.0,1.0,1.0,1.0,0.06945882193025593,0.06821092248949877,0.8623302555802453,0.0,0.0,0.0
RB_URB_day_city,-0.001174138557506367,0.00014962796003926903,3.0,0.9997861910182863,0.9462850501399407,0.9975421831475699,0.9997861910182863,0.35658080469750547,0.0061976576235293675,0.6001527625540513,0.0001233730781968159,0.036803999971472746,0.0001265020008843832
RB_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RB_URB_night_city,-0.0012969060207070322,0.0001725320685129282,3.0,0.9997914161561203,0.943929909026189,0.9974370514527633,0.9997914161561203,0.37130143187236764,0.006965528549229322,0.584437426244477,0.00019493494592765515,0.0369216044476628,0.0001773234819445948
RB_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RG_URB_day_city,-0.0035937273059506235,0.0007407200156850347,3.0,0.9998863518794445,0.9750772127104981,0.9984235312366817,0.9998863518794445,0.4505829169088606,0.001858421582320357,0.5419231298225222,0.00012623735525125977,0.005428979078751296,7.980047449881466e-05
RG_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RG_URB_night_city,-0.0013260263115014888,0.0002428066119604436,3.0,0.9998571468429501,0.9677363632540811,0.9981653500666274,0.9998571468429501,0.44018879309450454,0.0012932934572628294,0.5460838554143884,5.9720666805601306e-05,0.012314905679140002,5.8267552041326866e-05
RG_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RH_day_city,61.689966870288984,0.07059359401727272,3.0,0.9570339171197677,0.8478376462800432,0.9219695452847787,0.9570339171197677,0.24873105966226772,0.15552618192490325,0.34250516099072437,0.015569860833056972,0.08607204683400059,0.030665418380984064
RH_day_non-city,45.20428318476084,0.025558725554623043,3.0,0.9742566307592966,0.8823491473397705,0.9723680579310215,0.9742566307592966,0.0260454260785445,0.09457376170954862,0.6795950001458708,0.10915573296987657,0.016584989633091008,0.05737236854113957
RH_night_city,73.6073280722673,1.0823783340607809,3.0,0.9992791249599143,0.9288714222629462,0.9925788913322988,0.9992791249599143,0.6118028112153353,0.29113832076056995,0.039534987721607844,0.013516736827195121,0.020965563858867758,0.023033026251767962
RH_night_non-city,53.869169589970284,0.032012504052722615,2.0,0.9269665654647286,0.5637227277338341,0.9269665654647286,0.914602273901373,0.35812705851037946,0.3136482808021474,0.0005552785139696873,0.29222929629990857,0.0338550150203333,0.001585070853261469
RR_URB_day_city,-0.003627126377717524,6.958986186325985e-05,3.0,0.9973620905200742,0.8613320732149703,0.9775166563914143,0.9973620905200742,0.4274359497731514,0.3396841785946141,0.04140085292609378,0.11097991982757639,0.045900924313987776,0.01124586204059306
RR_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RR_URB_night_city,-0.0017151892685120925,2.454411695678924e-05,3.0,0.9969219198530951,0.913528364294098,0.9854317675520485,0.9969219198530951,0.5120728711470245,0.35457565338854685,0.017570009968508056,0.06374635198205345,0.033454946268657186,0.005733816659146663
RR_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SH_URB_day_city,177.19298828463457,8.685475146583995,3.0,0.99953901425317,0.9693594306985821,0.9955706677404093,0.99953901425317,0.40676638150433025,0.5321286978598894,0.029051040802913458,0.015225994511241544,0.001116452586140084,0.008232091431554825
SH_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SH_URB_night_city,31.604729320948163,5.9792748457226095,3.0,0.9996139870080093,0.9305347839212834,0.9938296942723321,0.9996139870080093,0.5875593635032295,0.3338282522094373,0.026343611520228193,0.00939356574118709,0.014024925564657467,0.02851074346901445
